kind,kit,category,name,ui_base,registry_file,source_files,preview_image,upstream_url
block,quartz,features-carousel,features-carousel-5,radix,registry/radix/pro/features-carousel-5.json,source/radix/pro/blocks/features-carousel/five/index.tsx;source/radix/pro/blocks/features-carousel/five/illustrations/ai-autocomplete.tsx;source/radix/pro/blocks/features-carousel/five/illustrations/flow-5.tsx;source/radix/pro/blocks/features-carousel/five/illustrations/map.tsx;source/radix/pro/blocks/features-carousel/five/illustrations/models-3.tsx;source/radix/pro/blocks/features-carousel/five/illustrations/notes-3.tsx;source/radix/pro/blocks/features-carousel/five/illustrations/workflow.tsx,previews/quartz/features-carousel-5.png,https://tailark.com/r/radix/features-carousel-5.json
block,quartz,footer,footer-1,base,registry/base/pro/footer-1.json,source/base/pro/blocks/footer/one/index.tsx,previews/quartz/footer-1.png,https://tailark.com/r/footer-1.json
block,quartz,footer,footer-1,radix,registry/radix/pro/footer-1.json,source/radix/pro/blocks/footer/one/index.tsx,previews/quartz/footer-1.png,https://tailark.com/r/radix/footer-1.json
block,quartz,footer,footer-2,base,registry/base/pro/footer-2.json,source/base/pro/blocks/footer/two/index.tsx,previews/quartz/footer-2.png,https://tailark.com/r/footer-2.json
block,quartz,footer,footer-2,radix,registry/radix/pro/footer-2.json,source/radix/pro/blocks/footer/two/index.tsx,previews/quartz/footer-2.png,https://tailark.com/r/radix/footer-2.json
block,quartz,footer,footer-3,base,registry/base/pro/footer-3.json,source/base/pro/blocks/footer/three/index.tsx,previews/quartz/footer-3.png,https://tailark.com/r/footer-3.json
block,quartz,footer,footer-3,radix,registry/radix/pro/footer-3.json,source/radix/pro/blocks/footer/three/index.tsx,previews/quartz/footer-3.png,https://tailark.com/r/radix/footer-3.json
block,quartz,footer,footer-4,base,registry/base/pro/footer-4.json,source/base/pro/blocks/footer/four/index.tsx,previews/quartz/footer-4.png,https://tailark.com/r/footer-4.json
block,quartz,footer,footer-4,radix,registry/radix/pro/footer-4.json,source/radix/pro/blocks/footer/four/index.tsx,previews/quartz/footer-4.png,https://tailark.com/r/radix/footer-4.json
block,quartz,footer,footer-5,base,registry/base/pro/footer-5.json,source/base/pro/blocks/footer/five/index.tsx,previews/quartz/footer-5.png,https://tailark.com/r/footer-5.json
block,quartz,footer,footer-5,radix,registry/radix/pro/footer-5.json,source/radix/pro/blocks/footer/five/index.tsx,previews/quartz/footer-5.png,https://tailark.com/r/radix/footer-5.json
block,quartz,forgot-password,forgot-password-1,base,registry/base/pro/forgot-password-1.json,source/base/pro/blocks/forgot-password/one/index.tsx,previews/quartz/forgot-password-1.png,https://tailark.com/r/forgot-password-1.json
block,quartz,forgot-password,forgot-password-1,radix,registry/radix/pro/forgot-password-1.json,source/radix/pro/blocks/forgot-password/one/index.tsx,previews/quartz/forgot-password-1.png,https://tailark.com/r/radix/forgot-password-1.json
block,quartz,forgot-password,forgot-password-2,base,registry/base/pro/forgot-password-2.json,source/base/pro/blocks/forgot-password/two/index.tsx,previews/quartz/forgot-password-2.png,https://tailark.com/r/forgot-password-2.json
block,quartz,forgot-password,forgot-password-2,radix,registry/radix/pro/forgot-password-2.json,source/radix/pro/blocks/forgot-password/two/index.tsx,previews/quartz/forgot-password-2.png,https://tailark.com/r/radix/forgot-password-2.json
block,quartz,forgot-password,forgot-password-3,base,registry/base/pro/forgot-password-3.json,source/base/pro/blocks/forgot-password/three/index.tsx,previews/quartz/forgot-password-3.png,https://tailark.com/r/forgot-password-3.json
block,quartz,forgot-password,forgot-password-3,radix,registry/radix/pro/forgot-password-3.json,source/radix/pro/blocks/forgot-password/three/index.tsx,previews/quartz/forgot-password-3.png,https://tailark.com/r/radix/forgot-password-3.json
